187.58.200.169 	80 	elite 	19.01.12 04:56 	2/5 	62,30 KB/s 	Brazil 	check
187.58.200.182 	80 	elite 	19.01.12 04:57 	5/5 	63,04 KB/s 	Brazil 	check
188.120.246.84 	80 	elite 	19.01.12 05:41 	1/5 	194,42 KB/s 	Unknown 	check
188.227.222.11 	808 	elite 	19.01.12 05:35 	1/5 	60,75 KB/s 	Unknown 	check
188.94.163.68 	3128 	elite 	19.01.12 05:44 	4/5 	94,59 KB/s 	Unknown 	check
190.144.147.198 	80 	elite 	19.01.12 04:56 	2/5 	67,36 KB/s 	Unknown 	check
190.3.106.166 	80 	elite 	18.01.12 16:52 	5/5 	27,95 KB/s 	Unknown 	check
190.3.106.166 	80 	elite 	19.01.12 10:57 	5/5 	35,08 KB/s 	Unknown 	check
193.138.185.51 	3128 	elite 	19.01.12 07:00 	5/5 	200,03 KB/s 	European Union 	check
194.170.35.112 	80 	elite 	18.01.12 19:33 	5/5 	2.237,53 KB/s 	United Arab Emirates 	check
194.226.154.8 	3128 	elite 	19.01.12 05:28 	5/5 	120,16 KB/s 	Russian Federation 	check
194.51.78.102 	80 	elite 	19.01.12 06:57 	4/5 	314,82 KB/s 	France 	check
195.135.214.226 	8080 	elite 	19.01.12 05:05 	1/5 	82,49 KB/s 	European Union 	check
195.138.88.105 	3128 	elite 	18.01.12 18:21 	2/5 	15,98 KB/s 	Ukraine 	check
195.16.49.214 	80 	elite 	19.01.12 07:46 	3/5 	71,41 KB/s 	Russian Federation 	check
195.222.83.75 	3128 	elite 	19.01.12 10:58 	1/5 	224,23 KB/s 	Belarus 	check
195.244.196.248 	8118 	elite 	18.01.12 18:33 	3/5 	186,02 KB/s 	Gibraltar 	check
195.82.150.19 	3128 	elite 	19.01.12 10:41 	2/5 	195,73 KB/s 	Ukraine 	check
196.202.200.135 	8080 	elite 	19.01.12 02:39 	5/5 	1.668,04 KB/s 	Kenya 	check
198.164.129.13 	80 	elite 	19.01.12 05:15 	5/5 	2.034,43 KB/s 	Canada 	check
198.235.15.70 	80 	elite 	19.01.12 02:10 	1/5 	108,10 KB/s 	Canada 	check
